question,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q35,"Regardless of future plans, what's more interesting to you right now?",Sex,Love,,,50384,N,,sex/intimacy
q41,How important is religion/God in your life?,Extremely important,Somewhat important,Not very important,Not at all important,54140,O,,religion/superstition
q9688,Could you date someone who does drugs?,No,"Yes, but only soft stuff like marijuana",Yes,,55697,O,,preference
q16053,How willing are you to meet someone from OkCupid in person?,Totally willing!,"Hesitant, but I'd certainly consider it.",I'm not interested in meeting in person.,,58043,O,,preference
q20930,Rate your self-confidence:,"Very, very high",Higher than average,Average,Below average,53737,O,,descriptive
q35660,How often are you open with your feelings?,Always,Usually,Rarely,Never,49489,O,,descriptive
q41953,About how long do you want your next relationship to last?,One night,A few months to a year,Several years,The rest of my life,48614,O,,preference
q44639,Do you like scary movies?,Yes,No,,,54964,O,,preference
q179268,Are you either vegetarian or vegan?,Yes,No,,,54202,O,,politics; descriptive
q358077,Could you date someone who was really messy?,Yes,No,,,55695,O,,preference
d_religion_type,Religion type,,,,,66365,,,
d_drugs,Drugs,,,,,55697,,,
lf_want,Type of match,,,,,66365,,,
